Initial
1961-1-1

Spa	171.985
Dgw	17.0382
Alf	0.00269484
Dgm	150.758
Soc	0.231087
Wic	0.672371
Mec	0.455453
Grd	0.976572

OK	nan

P	R	RM	BF	B	I	DR	PET	ET	SW	SS	GS	INF	PERC	RC	T	H	WEI
86.2153	40.7564	71.7004	16.9851	NA	54.7153	0	4.8387	4.8387	171.985	0	27.0688	81.3766	81.3766	26.6614	-2.06723	NA	1
41.4548	60.0669	49.2759	26.4347	NA	22.8412	0	7.48364	7.48364	171.985	0	11.7641	33.9712	33.9712	11.13	-2.37896	NA	1
55.1707	99.1897	17.7745	11.4885	NA	6.28598	0	41.3691	41.3691	171.985	0	7.79123	13.8016	13.8016	7.51563	5.70408	NA	1
117.287	64.5815	44.6793	7.6087	NA	0	37.0706	83.2579	83.2312	168.97	0	0.18253	80.2159	0	0	12.0978	NA	1
201.3	96.3432	108.669	0.178254	NA	1.20589	107.285	85.7813	85.7813	171.985	0	4.01672	94.0149	5.21833	4.01244	11.8734	NA	1
80.3076	89.6514	21.3025	3.92262	NA	0	17.3799	102.348	98.1568	136.756	0	0.094102	62.9277	0	0	15.2793	NA	1
41.7659	24.076	3.82984	0.0918974	NA	0	3.73794	90.5539	74.0192	100.765	0	0.00220458	38.0279	0	0	16.0756	NA	1
61.3534	20.0854	5.94548	0.00215293	NA	0	5.94332	41.7556	41.7556	114.419	0	5.1648e-005	55.4101	0	0	8.40747	NA	1
33.6619	19.3744	2.03156	5.04381e-005	NA	0	2.03151	21.8928	21.8928	124.157	0	1.20999e-006	31.6304	0	0	5.37922	NA	1
96.176	25.7145	28.4525	1.18164e-006	NA	28.4525	0	6.03107	6.03107	171.985	0	13.8642	90.145	42.3167	13.8642	-0.195178	NA	1
90.5452	51.9309	52.4628	13.5394	NA	38.9234	0	5.0842	5.0842	171.985	0	46.8623	85.461	85.461	46.5375	0.248349	NA	1
51.6886	31.5207	74.1147	45.7645	NA	28.3503	0	0	0	171.985	9.52401	14.9122	42.1646	42.1646	13.8144	-5.52529	NA	1
16.409	26.8511	26.4138	14.5629	NA	11.8509	0	8.30742	8.30742	171.985	0	6.124	17.6256	17.6256	5.77465	-0.170659	NA	1
28.9509	39.8166	8.51439	5.98053	NA	2.53385	0	23.3875	23.3875	171.985	0	3.17299	5.56338	5.56338	3.02952	3.10575	NA	1
